26061 1.0 
26062 0.0 
26064 1.0 
26067 0.0 
26068 1.0 
26069 2.0 
26070 1.0 
26073 2.0 
26075 1.0 
26077 2.0 
26081 3.0 
26083 2.0 
26085 3.0 
26090 4.0 
26091 3.0 
26093 4.0 
26096 3.0 
26097 4.0 
26098 5.0 
26099 4.0 
26101 5.0 
26106 6.0 
26108 5.0 
26109 6.0 
26110 7.0 
26111 6.0 
26113 7.0 
26116 6.0 
26117 7.0 
26118 8.0 
26120 7.0 
26121 8.0 
26122 9.0 
26124 8.0 
26126 9.0 
26131 10.0 
26133 9.0 
26134 10.0 
26135 11.0 
26137 10.0 
26138 11.0 
26139 12.0 
26141 11.0 
26142 12.0 
26143 13.0 
26145 12.0 
26147 13.0 
26148 14.0 
26152 15.0 
26156 16.0 
26159 17.0 
26160 18.0 
26162 17.0 
26163 18.0 
26164 19.0 
26168 20.0 
26171 21.0 
26173 22.0 
26177 23.0 
26181 24.0 
26182 25.0 
26184 24.0 
26185 25.0 
26186 26.0 
26188 25.0 
26189 26.0 
26190 27.0 
26193 26.0 
26194 27.0 
26195 28.0 
26197 27.0 
26198 28.0 
26199 29.0 
26200 28.0 
26202 29.0 
26203 30.0 
26205 29.0 
26207 30.0 
26209 29.0 
26211 30.0 
26216 31.0 
26218 30.0 
26219 31.0 
26220 32.0 
26222 31.0 
26223 32.0 
26224 33.0 
26226 32.0 
26227 33.0 
26229 34.0 
26230 33.0 
26232 34.0 
26236 35.0 
26241 36.0 
26243 35.0 
26244 36.0 
26245 37.0 
26246 36.0 
26249 37.0 
26251 36.0 
26252 37.0 
26255 36.0 
26256 37.0 
26257 38.0 
26258 37.0 
26261 38.0 
26262 37.0 
26265 38.0 
26267 37.0 
26269 38.0 
26271 37.0 
26273 38.0 
26275 37.0 
26277 38.0 
26279 37.0 
26280 38.0 
26284 37.0 
26285 38.0 
26288 37.0 
26289 38.0 
26290 39.0 
26291 38.0 
26292 37.0 
26293 38.0 
26296 37.0 
26297 38.0 
26298 39.0 
26299 38.0 
26300 37.0 
26301 38.0 
26304 37.0 
26305 38.0 
26306 39.0 
26307 38.0 
26308 37.0 
26309 38.0 
26310 39.0 
26311 38.0 
26321 37.0 
26322 38.0 
26329 37.0 
26331 38.0 
26333 37.0 
26334 38.0 
26335 39.0 
26337 38.0 
26339 39.0 
26341 38.0 
26343 39.0 
26345 38.0 
26347 39.0 
26358 38.0 
26359 39.0 
26362 38.0 
26363 39.0 
26364 40.0 
26365 39.0 
26366 38.0 
26367 39.0 
26372 40.0 
26373 39.0 
26376 40.0 
26377 39.0 
26380 40.0 
26381 39.0 
26382 38.0 
26383 39.0 
26384 40.0 
26385 39.0 
26388 40.0 
26389 39.0 
26392 40.0 
26394 39.0 
26396 40.0 
26398 39.0 
26400 40.0 
26403 39.0 
26405 40.0 
26407 39.0 
26409 40.0 
26412 39.0 
26414 40.0 
26416 39.0 
26418 40.0 
26420 39.0 
26422 40.0 
26424 39.0 
26426 40.0 
26428 39.0 
26430 40.0 
26432 39.0 
26434 40.0 
26436 39.0 
26438 40.0 
26440 39.0 
26442 40.0 
26444 39.0 
26447 40.0 
26449 39.0 
26450 40.0 
26453 39.0 
26455 40.0 
26457 39.0 
26459 40.0 
26461 39.0 
26463 40.0 
26465 39.0 
26467 40.0 
26469 39.0 
26472 40.0 
26473 39.0 
26476 40.0 
26478 39.0 
26480 40.0 
26482 39.0 
26484 40.0 
26486 39.0 
26488 40.0 
26490 39.0 
26492 40.0 
26494 39.0 
26496 40.0 
26498 39.0 
26501 40.0 
26503 39.0 
26505 40.0 
26507 39.0 
26509 40.0 
26511 39.0 
26513 40.0 
26515 39.0 
26517 40.0 
26519 39.0 
26522 40.0 
26523 39.0 
26526 40.0 
26527 39.0 
26530 40.0 
26532 39.0 
26534 40.0 
26536 39.0 
